query_id,recall
1,0.1724
2,0.1600
3,0.7778
4,1.0000
5,0.2000
6,0.4000
7,0.5000
8,0.1667
9,0.0000
10,0.4444
11,0.3750
12,0.3333
13,0.2000
14,0.0000
15,0.6667
16,0.5000
17,0.6667
18,0.5000
19,0.0000
20,0.5000
21,0.6000
22,0.0000
23,0.2121
24,0.7500
25,0.3000
26,0.4286
27,0.5000
28,0.0000
29,0.4000
30,0.1250
31,0.5000
32,0.1429
33,0.7500
34,0.4286
35,0.0000
36,0.3333
37,0.0000
38,0.1818
39,0.2143
40,0.2308
41,0.7500
42,0.6667
43,0.5714
44,0.0000
45,0.3077
46,0.3125
47,0.3333
48,0.1667
49,0.6667
50,0.1429
51,0.3636
52,1.0000
53,0.1818
54,0.3000
55,0.1818
56,0.1818
57,0.0667
58,0.1000
59,0.2000
60,0.5000
61,0.3333
62,0.1667
63,0.0000
64,0.3333
65,0.3125
66,0.1667
67,0.4667
68,0.5000
69,0.0000
70,0.0909
71,0.1111
72,0.1111
73,0.2381
74,0.0000
75,0.1667
76,0.1250
77,0.4286
78,0.7500
79,0.3333
80,0.2000
81,0.6667
82,0.3333
83,0.0000
84,0.1667
85,0.0000
86,1.0000
87,0.1111
88,1.0000
89,0.1429
90,0.0714
91,0.2000
92,0.4286
93,1.0000
94,0.3846
95,0.3333
96,0.1429
97,0.1818
98,0.1667
99,0.6000
100,0.3000
101,0.7143
102,0.4000
103,0.3333
104,0.1667
105,0.6667
106,0.5000
107,0.5000
108,0.7500
109,0.1667
110,0.2000
111,0.3750
112,0.6667
113,0.4000
114,0.2000
115,0.0000
116,0.1667
117,0.0000
118,0.5000
119,0.5000
120,0.6000
121,0.7500
122,0.4000
123,0.3333
124,0.2000
125,0.1111
126,0.2222
127,0.1667
128,0.3333
129,0.5000
130,0.8333
131,0.3333
132,0.4375
133,0.1250
134,0.6667
135,0.5556
136,0.5000
137,0.6000
138,0.6667
139,0.2000
140,0.2857
141,0.1429
142,0.5000
143,0.6667
144,0.7143
145,0.7500
146,1.0000
147,0.4545
148,0.5714
149,0.2500
150,1.0000
151,0.0000
152,0.0000
153,0.1250
154,1.0000
155,0.5714
156,0.4667
157,0.0500
158,0.1111
159,0.2222
160,0.3333
161,0.4286
162,0.3333
163,0.7500
164,0.4444
165,0.6667
166,0.1111
167,0.0000
168,0.6667
169,0.4000
170,0.5714
171,0.7500
172,1.0000
173,1.0000
174,0.0000
175,0.3333
176,0.2500
177,1.0000
178,0.6000
179,0.4000
180,0.5000
181,0.1667
182,0.6667
183,0.4286
184,0.3750
185,0.6000
186,0.1765
187,0.2857
188,0.3333
189,0.1000
190,0.3333
191,0.2857
192,0.8000
193,0.5000
194,0.4286
195,0.2500
196,0.2308
197,1.0000
198,0.4000
199,0.0000
200,1.0000
201,0.2941
202,0.2667
203,0.1333
204,0.0667
205,0.3333
206,0.5000
207,0.0000
208,0.5714
209,0.3077
210,0.4286
211,0.0833
212,0.4667
213,0.5000
214,0.4000
215,0.3333
216,0.0000
217,0.0625
218,0.0625
219,0.0526
220,0.0500
221,0.1579
222,0.2000
223,0.2000
224,0.1111
225,0.0000
